dataset,task,n_components,framework,model,encoding,f1_macro_mean,f1_macro_std,accuracy_mean,gram_offdiag_std_mean,n_folds,sweep_start,parent_run_id,is_latest
ember-2018,binary,3,classical,xgboost,,0.6465250284398584,0.061397298091690394,0.852,,5,2026-08-01 15:14:12.439000+00:00,2fcfeb26f29c4c83b8fd062556e15b73,True
ember-2018,binary,6,classical,lightgbm,,0.6593205587149195,0.07080335775209054,0.884,,5,2026-08-01 15:17:19.866000+00:00,95ba47507b954256a5efbd7cf38e4382,True
ember-2018,binary,6,quantum,qsvm,angle,0.5137703485856953,0.008364040832568864,0.635,0.09796551248519074,5,2026-07-25 03:58:21.049000+00:00,f1ecc33999864e2496eb4f1a450807e1,True
ember-2018,binary,6,quantum,qsvm,iqp,0.5136751583392752,0.03718557103386587,0.636,0.129865105434209,5,2026-07-25 04:11:22.960000+00:00,57f87900e4e34a5a898343d9f729852e,True
ember-2018,binary,6,classical,random_forest,,0.6834706145293937,0.07408713602868608,0.875,,5,2026-08-01 15:15:14.972000+00:00,c84def897b664d9595e590a7c1152652,True
ember-2018,binary,6,classical,svm,,0.6724286391079743,0.03761331566681061,0.8460000000000001,,5,2026-07-25 04:36:58.013000+00:00,c4bf7687fb8f4d05bdc670ee2e577f4c,True
ember-2018,binary,6,classical,xgboost,,0.6680491149670307,0.048861866969122154,0.881,,5,2026-08-01 15:16:50.905000+00:00,8edc02dd49c54922929834f9b72821aa,True
ember-2018,multiclass,1,classical,lightgbm,,0.5410497296181371,0.04138471202342823,0.5429999999999999,,5,2026-08-01 15:21:46.226000+00:00,ba3851340852450eb560655d9a9424f2,True
ember-2018,multiclass,1,quantum,qsvm,angle,0.1687874423062498,0.031298013127674745,0.27,0.20444504810736683,5,2026-07-25 06:08:50.564000+00:00,5d2a41ad00cc44db8331893aeafdffc8,True
ember-2018,multiclass,1,quantum,qsvm,iqp,0.1541059044527347,0.02623387259066,0.24300000000000002,0.17557621154279465,5,2026-07-25 06:12:51.331000+00:00,7b122f323bfe45efaac4836a2f55d709,True
ember-2018,multiclass,1,classical,random_forest,,0.5561907822699944,0.026773005059180812,0.557,,5,2026-08-01 15:17:57.817000+00:00,ce9a722a50124d2faaeaf118b1836442,True
ember-2018,multiclass,1,classical,svm,,0.5294133321269644,0.03275969663457977,0.538,,5,2026-07-25 07:10:25.571000+00:00,352a171871104576a96cdd9da6c9a0e7,True
ember-2018,multiclass,1,classical,xgboost,,0.5312993318673407,0.031530371075570864,0.54,,5,2026-08-01 15:19:44.761000+00:00,2d2af17a64e64953a4ffe2b19e4815ea,True
ember-2018,multiclass,3,classical,lightgbm,,0.7035166656421288,0.021559698153587544,0.7070000000000001,,5,2026-08-01 15:30:20.138000+00:00,35007c5291e54ce9b9abd40c759d0629,True
ember-2018,multiclass,3,quantum,qsvm,angle,0.3907884921141812,0.05897160899842711,0.43999999999999995,0.1942394485012134,5,2026-07-25 06:15:50.378000+00:00,b702bade04224702a496162b3ad19495,True
ember-2018,multiclass,3,quantum,qsvm,iqp,0.47967988975021375,0.02773655697843324,0.523,0.2568616789170798,5,2026-07-25 06:23:47.047000+00:00,ae8c8416a7004e9b944b21531a28e146,True
ember-2018,multiclass,3,classical,random_forest,,0.7194150267875187,0.010189437206761841,0.723,,5,2026-08-01 15:26:11.118000+00:00,05e41aadff3b4a25a66753499a409564,True
ember-2018,multiclass,3,classical,svm,,0.7389146603571525,0.0060825918710513335,0.728,,5,2026-07-25 07:10:51.064000+00:00,a674e5684c04470299f485f176307943,True
ember-2018,multiclass,3,classical,xgboost,,0.7088932915246975,0.016242386288341112,0.712,,5,2026-08-01 15:27:53.375000+00:00,4640e9654b484d5aab68feda7711acda,True
ember-2018,multiclass,6,classical,lightgbm,,0.7709149311725378,0.016617359904644538,0.774,,5,2026-08-01 15:39:16.392000+00:00,f809c336d4444570993c933bdb452555,True
ember-2018,multiclass,6,quantum,qsvm,angle,0.4231914469080187,0.07505154382923375,0.462,0.13626033434162219,5,2026-07-25 06:32:06.077000+00:00,e8c3b522f23747d7a88ff64b500994f4,True
ember-2018,multiclass,6,quantum,qsvm,iqp,0.5194531423927002,0.05819172074328739,0.5469999999999999,0.21036378722103014,5,2026-07-25 06:45:34.253000+00:00,525bd7701b794e40a18339283e4a563f,True
ember-2018,multiclass,6,classical,random_forest,,0.790284972037212,0.023802890339146135,0.7909999999999999,,5,2026-08-01 15:33:37.279000+00:00,78646f7015984eaa98204b24d682ee6b,True
ember-2018,multiclass,6,classical,svm,,0.7930427412212524,0.020806567050482908,0.785,,5,2026-07-25 07:11:20.303000+00:00,2186443c6a044ab9b7a8dcb44ef54e4c,True
ember-2018,multiclass,6,classical,xgboost,,0.7659059371642711,0.02136566721648535,0.766,,5,2026-08-01 15:35:45.706000+00:00,012dfa0e0bee4d3abbeab61c5f0f61db,True
