dataset,task,n_components,quantum,classical,qsvm_f1_macro_mean,classical_f1_macro_mean,delta_classical_minus_qsvm,ttest_statistic,ttest_pvalue,wilcoxon_statistic,wilcoxon_pvalue,ttest_significant_at_05
cic-malmem,multiclass,6,qsvm-iqp,xgboost,0.0793682270676792,0.1493892811235486,0.0700210540558694,-8.299218739235032,0.0011510489984992102,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-iqp,lightgbm,0.0793682270676792,0.15712245865844301,0.07775423159076382,-5.718703849463073,0.004626335757409057,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-iqp,svm,0.0793682270676792,0.1647451081849126,0.08537688111723339,-6.837072103827499,0.002394082522385552,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-joint,random_forest,0.0707703494637253,0.1509929786505269,0.0802226291868016,-6.733191774586663,0.002534881831414831,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-joint,xgboost,0.0707703494637253,0.1493892811235486,0.0786189316598233,-11.126253350808996,0.00037129747639464393,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-joint,lightgbm,0.0707703494637253,0.15712245865844301,0.08635210919471771,-10.532649063389057,0.0004595605156330898,0.0,0.0625,True
cic-malmem,multiclass,6,qsvm-joint,svm,0.0707703494637253,0.1647451081849126,0.09397475872118728,-9.859048597837951,0.0005937402451321989,0.0,0.0625,True
ember-2018,binary,1,qsvm-angle,random_forest,0.45322434443718534,0.558183651105556,0.10495930666837067,-4.981753023589055,0.0075878947813582615,0.0,0.0625,True
ember-2018,binary,1,qsvm-angle,xgboost,0.45322434443718534,0.5450716303165196,0.09184728587933427,-5.347614935523715,0.005895068573162907,0.0,0.0625,True
ember-2018,binary,1,qsvm-angle,lightgbm,0.45322434443718534,0.5092935288790749,0.05606918444188952,-3.53433810218244,0.02413607861324812,0.0,0.0625,True
ember-2018,binary,1,qsvm-angle,svm,0.45322434443718534,0.5313954328560812,0.0781710884188958,-8.58561286216361,0.0010110541053851736,0.0,0.0625,True
ember-2018,binary,1,qsvm-iqp,random_forest,0.4586800836140913,0.558183651105556,0.09950356749146472,-5.420189859290503,0.005616305796534167,0.0,0.0625,True
ember-2018,binary,1,qsvm-iqp,xgboost,0.4586800836140913,0.5450716303165196,0.08639154670242832,-5.730513288860437,0.004591767738662942,0.0,0.0625,True
ember-2018,binary,1,qsvm-iqp,lightgbm,0.4586800836140913,0.5092935288790749,0.05061344526498357,-3.849702759884181,0.01830724011771976,0.0,0.0625,True
ember-2018,binary,1,qsvm-iqp,svm,0.4586800836140913,0.5313954328560812,0.07271534924198986,-9.829499240958075,0.0006006734040582655,0.0,0.0625,True
ember-2018,binary,3,qsvm-angle,random_forest,0.4923946968218448,0.6574827217845197,0.16508802496267494,-4.274614965900336,0.012902719115580887,0.0,0.0625,True
ember-2018,binary,3,qsvm-angle,xgboost,0.4923946968218448,0.6465250284398584,0.1541303316180136,-4.008980261130367,0.016010146180773774,0.0,0.0625,True
ember-2018,binary,3,qsvm-angle,lightgbm,0.4923946968218448,0.6433515549708316,0.15095685814898685,-6.367067339456495,0.003119951919694132,0.0,0.0625,True
ember-2018,binary,3,qsvm-angle,svm,0.4923946968218448,0.6305534481296396,0.13815875130779487,-6.5771862984940235,0.002766046032622154,0.0,0.0625,True
